,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0.0,1.0,0.0,2,1,2,0,12,12.4481978695,10.1054,10.1054,10.1054,10.1054,10.1054,10.1054,100,100.0,9.36067e-24,99.4881,99.4881,0.00655399,2.1877e-28,2.44837e-17,10.1054
1,1,0,0,0,0.0,2.0,0.0,2,1,4,1,15,17.6314677186,10.0442,10.0442,10.0442,10.0442,10.0442,10.0442,100,99.9126,1.33828,99.4897,99.4064,1.33791,0.000389438,0.135886,10.0442
2,1,0,0,0,0.0,3.0,0.0,2,1,6,2,15,25.1696966342,9.93821,9.93821,9.93821,9.93821,9.93821,9.93821,100,99.7426,5.7218,99.5009,99.2457,5.72859,0.000817491,0.580993,9.93821
3,1,0,0,0,0.0,4.0,0.0,2,1,8,3,15,31.1991476172,9.80589,9.80589,9.80589,9.80589,9.80589,9.80589,100,99.5214,8.49762,99.5148,99.0389,8.49436,0.00135536,0.859882,9.80576
4,1,0,0,0,0.0,5.0,0.0,2,1,10,4,15,36.5621399136,9.64937,9.64937,9.64937,9.64937,9.64937,9.64937,100,99.2602,11.006,99.5316,98.7942,10.981,0.0020798,1.10902,9.64937
5,1,0,0,0,0.0,-5.0,0.0,2,1,12,5,15,41.0233122166,9.6352,9.6352,9.6352,9.6352,9.6352,9.6352,100,96.924,13.8157,99.5384,96.444,13.7966,0.00325058,1.38874,9.6352
6,1,0,0,0,0.0,-4.0,0.0,2,1,14,6,15,45.3898871373,9.58642,9.58642,9.58642,9.58642,9.58642,9.58642,100,94.9539,29.3395,99.5789,94.4648,29.346,0.00318213,2.8517,9.58642
7,1,0,0,0,0.0,-3.0,0.0,2,1,16,7,15,49.1116400066,9.58386,9.58386,9.58386,9.58386,9.58386,9.58386,100,94.5499,32.5169,99.5885,94.0556,32.5312,0.00319777,3.12695,9.58386
8,1,0,0,0,0.0,-2.0,0.0,2,1,18,8,15,52.3809104495,9.60612,9.60612,9.60612,9.60612,9.60612,9.60612,100,94.6024,32.0735,99.5836,94.1069,32.0933,0.00364911,3.08953,9.60612
9,1,0,0,0,0.0,-1.0,0.0,2,1,20,9,15,55.3416072498,9.64375,9.64375,9.64375,9.64375,9.64375,9.64375,100,94.9362,30.874,99.5765,94.4381,30.8944,0.00369557,2.98644,9.64375
10,1,0,0,0,1.0,0.0,0.0,2,1,22,10,15,58.0723519023,9.68739,9.68739,9.68739,9.68739,9.68739,9.68739,100,95.3702,29.6255,99.5691,94.8707,29.6446,0.011226,2.87108,9.68739
11,1,0,0,0,2.0,0.0,0.0,2,1,24,11,15,60.6584330044,9.72706,9.72706,9.72706,9.72706,9.72706,9.72706,100,95.8053,28.7249,99.5625,95.3049,28.7435,0.283322,2.76353,9.72706
12,1,0,0,0,3.0,0.0,0.0,2,1,26,12,15,63.1558290605,9.75783,9.75783,9.75783,9.75783,9.75783,9.75783,100,96.3047,28.4358,99.5572,95.8059,28.4533,0.639861,2.66498,9.75783
