,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,1.0,0.0,0.0,2,1,2,0,12,12,81.9774338922,10.1054,10.1054,10.1054,10.1054,10.1054,10.1054,100,100,1.28107e-23,99.4881,99.4881,0.00621477,7.36006e-21,4.40311e-21,10.1054
1,1,0,0,0,2.0,0.0,0.0,2,1,4,1,15,12,82.5001656836,9.9627,9.9627,9.9627,9.9627,9.9627,9.9627,100,100,5.47255e-21,99.4946,99.4946,0.00623155,4.61813e-21,8.43318e-24,9.9627
2,1,0,0,0,3.0,0.0,0.0,2,1,6,2,15,12,83.6163761681,9.72828,9.72828,9.72828,9.72828,9.72828,9.72828,100,100,6.65311e-21,99.508,99.508,0.00626583,1.50505e-20,2.08203e-24,9.72828
3,1,0,0,0,4.0,0.0,0.0,2,1,8,3,15,12,85.824110279,9.42554,9.42554,9.42554,9.42554,9.42554,9.42554,100,100,6.46643e-21,99.533,99.533,0.00632017,2.29152e-20,2.10263e-24,9.42554
4,1,0,0,0,5.0,0.0,0.0,2,1,10,4,15,12,88.2323215588,9.06524,9.06524,9.06524,9.06524,9.06524,9.06524,100,100,1.42186e-19,99.5582,99.5582,0.00637778,1.00142e-20,1.35029e-24,9.06524
5,1,0,0,0,6.0,0.0,0.0,2,1,12,5,15,12,92.0712108158,8.68651,8.68651,8.68651,8.68651,8.68651,8.68651,100,100,7.9194e-20,99.5944,99.5944,0.00645543,2.01354e-20,6.0306e-24,8.68651
6,1,0,0,0,7.0,0.0,0.0,2,1,14,6,15,12,97.4666975943,8.28418,8.28418,8.28418,8.28418,8.28418,8.28418,100,100,6.95839e-20,99.6381,99.6381,0.00655368,1.73551e-20,2.62939e-24,8.28418
7,1,0,0,0,-7.0,0.0,0.0,2,1,16,7,15,12,85.8108555902,8.29307,8.29307,8.29307,8.29307,8.29307,8.29307,100,100,3.6158e-20,99.5329,99.5329,0.00631898,1.63289e-20,9.02325e-24,8.29307
8,1,0,0,0,-6.0,0.0,0.0,2,1,18,8,15,12,95.2912717874,8.48023,8.48023,8.48023,8.48023,8.48023,8.48023,100,100,1.09939e-19,99.6214,99.6214,0.00651482,2.93717e-20,7.44032e-24,8.48023
9,1,0,0,0,-5.0,0.0,0.0,2,1,20,9,15,12,91.3090662072,8.70946,8.70946,8.70946,8.70946,8.70946,8.70946,100,100,1.86674e-19,99.5876,99.5876,0.00644449,2.35432e-20,8.22491e-24,8.70946
10,1,0,0,0,-4.0,0.0,0.0,2,1,22,10,15,12,87.8926701571,9.1414,9.1414,9.1414,9.1414,9.1414,9.1414,100,100,9.82516e-22,99.5548,99.5548,0.00636991,1.36197e-19,2.3638e-24,9.1414
11,1,0,0,0,-3.0,0.0,0.0,2,1,24,11,15,12,85.1414938034,9.48592,9.48592,9.48592,9.48592,9.48592,9.48592,100,100,1.72339e-20,99.5255,99.5255,0.00630652,1.94064e-20,3.43749e-24,9.48592
12,1,0,0,0,-2.0,0.0,0.0,2,1,26,12,15,12,83.1160116641,9.8192,9.8192,9.8192,9.8192,9.8192,9.8192,100,100,1.32608e-21,99.502,99.502,0.00625204,4.17361e-21,4.10266e-24,9.8192
13,1,0,0,0,-1.0,0.0,0.0,2,1,28,13,15,12,81.8756213135,10.0162,10.0162,10.0162,10.0162,10.0162,10.0162,100,100,1.8563e-22,99.4868,99.4868,0.0062158,1.20354e-20,8.51437e-24,10.0162
