,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,1.0,0.0,0.0,2,1,2,0,11,11,82.0029832194,0.101054,0.101054,0.101054,0.101054,0.101054,0.101054,1,1,2.44745e-23,0.994881,0.994881,6.21627e-05,8.65895e-23,1.61176e-25,0.101054
1,1,0,0,0,2.0,0.0,0.0,2,1,4,1,14,11,83.1704992749,0.0996345,0.0996345,0.0996345,0.0996345,0.0996345,0.0996345,1,1,1.72851e-22,0.995024,0.995024,6.24915e-05,3.99678e-23,2.2046e-26,0.0996345
2,1,0,0,0,3.0,0.0,0.0,2,1,6,2,14,11,85.108763207,0.0972786,0.0972786,0.0972786,0.0972786,0.0972786,0.0972786,1,1,2.69531e-22,0.995249,0.995248,6.30008e-05,1.38388e-22,3.01872e-26,0.0972786
3,1,0,0,0,4.0,0.0,0.0,2,1,8,3,14,11,87.8483530143,0.0942332,0.0942332,0.0942332,0.0942332,0.0942332,0.0942332,1,1,1.61265e-22,0.995541,0.995541,6.36568e-05,1.21384e-22,5.69001e-26,0.0942332
4,1,0,0,0,5.0,0.0,0.0,2,1,10,4,15,11,91.3851253366,0.0906589,0.0906589,0.0906589,0.0906589,0.0906589,0.0906589,1,1,1.28947e-21,0.99588,0.99588,6.43742e-05,2.30502e-22,6.93681e-28,0.0906589
5,1,0,0,0,6.0,0.0,0.0,2,1,12,5,15,11,95.2889993785,0.0868407,0.0868407,0.0868407,0.0868407,0.0868407,0.0868407,1,1,3.68054e-22,0.996211,0.996211,6.51717e-05,3.13122e-22,1.96781e-26,0.0868407
6,1,0,0,0,7.0,0.0,0.0,2,1,14,6,15,11,99.8939299772,0.0828671,0.0828671,0.0828671,0.0828671,0.0828671,0.0828671,1,1,1.30432e-21,0.996553,0.996553,6.59104e-05,7.42736e-23,4.06218e-26,0.0828671
7,1,0,0,0,-7.0,0.0,0.0,2,1,16,7,15,11,98.8688626476,0.08291,0.08291,0.08291,0.08291,0.08291,0.08291,1,1,1.01637e-22,0.996481,0.996481,6.56648e-05,2.64168e-22,3.86747e-26,0.08291
8,1,0,0,0,-6.0,0.0,0.0,2,1,18,8,15,11,95.3975554174,0.0868273,0.0868273,0.0868273,0.0868273,0.0868273,0.0868273,1,1,9.79779e-23,0.99622,0.99622,6.50735e-05,1.81675e-22,1.71979e-26,0.0868273
9,1,0,0,0,-5.0,0.0,0.0,2,1,20,9,15,11,91.3801533043,0.0906322,0.0906322,0.0906322,0.0906322,0.0906322,0.0906322,1,1,1.03801e-21,0.99588,0.99588,6.44325e-05,1.74174e-22,4.59105e-26,0.0906322
10,1,0,0,0,-4.0,0.0,0.0,2,1,22,10,15,11,87.9569090532,0.0941363,0.0941363,0.0941363,0.0941363,0.0941363,0.0941363,1,1,5.75557e-23,0.995552,0.995552,6.37242e-05,1.77068e-21,5.36667e-27,0.0941363
11,1,0,0,0,-3.0,0.0,0.0,2,1,24,11,15,11,85.1883157241,0.0971834,0.0971834,0.0971834,0.0971834,0.0971834,0.0971834,1,1,1.6389e-23,0.995257,0.995257,6.30515e-05,1.03059e-21,3.34996e-26,0.0971834
12,1,0,0,0,-2.0,0.0,0.0,2,1,26,12,15,11,83.1522684897,0.0996566,0.0996566,0.0996566,0.0996566,0.0996566,0.0996566,1,1,6.78996e-23,0.995022,0.995022,6.25012e-05,2.16686e-22,9.42369e-27,0.0996566
13,1,0,0,0,-1.0,0.0,0.0,2,1,28,13,15,11,81.9050341827,0.101174,0.101174,0.101174,0.101174,0.101174,0.101174,1,1,1.41626e-25,0.994869,0.994869,6.2161e-05,1.40724e-22,5.58135e-26,0.101174
