,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,1.0,0.0,0.0,2,1,2,0,11,17.6035770321,0.101054,0.101054,0.101054,0.101054,0.101054,0.101054,1.0,1,2.44745e-23,0.994881,0.994881,6.21627e-05,8.65895e-23,1.61176e-25,0.101054
1,1,0,0,0,2.0,0.0,0.0,2,1,4,1,14,25.0728463627,0.100102,0.100102,0.100102,0.100102,0.100102,0.100102,0.998871,1,0.0445468,0.993807,0.994965,0.0458008,0.00464499,2.03018e-06,0.100102
2,1,0,0,0,3.0,0.0,0.0,2,1,6,2,14,35.7936250983,0.0989639,0.0989639,0.0989639,0.0989639,0.0989639,0.0989639,0.997546,1,0.0662618,0.992524,0.995071,0.0677816,0.00686642,1.24456e-05,0.0989639
3,1,0,0,0,4.0,0.0,0.0,2,1,8,3,14,44.3973230963,0.0975583,0.0975583,0.0975583,0.0975583,0.0975583,0.0975583,0.99553,1,0.0890708,0.990601,0.995213,0.0902077,0.00912596,1.42705e-05,0.0975583
4,1,0,0,0,5.0,0.0,0.0,2,1,10,4,15,52.0800794105,0.0958956,0.0958956,0.0958956,0.0958956,0.0958956,0.0958956,0.992681,1,0.116031,0.988219,0.995388,0.113278,0.0114359,0.000234827,0.0958956
5,1,0,0,0,6.0,0.0,0.0,2,1,12,5,15,59.2901793497,0.0940564,0.0940564,0.0940564,0.0940564,0.0940564,0.0940564,0.989869,1,0.135357,0.985716,0.99558,0.133615,0.0134631,0.000246072,0.0940564
6,1,0,0,0,7.0,0.0,0.0,2,1,14,6,15,66.2903679142,0.0920511,0.0920511,0.0920511,0.0920511,0.0920511,0.0920511,0.987052,1,0.155106,0.983086,0.995788,0.152687,0.0153469,0.000230311,0.0920511
7,1,0,0,0,-7.0,0.0,0.0,2,1,16,7,15,72.8187895585,0.090777,0.090777,0.090777,0.090777,0.090777,0.090777,0.933391,1,0.288776,0.92875,0.99621,0.288103,0.0280831,0.000227367,0.090777
8,1,0,0,0,-6.0,0.0,0.0,2,1,18,8,15,78.6020258227,0.09031,0.09031,0.09031,0.09031,0.09031,0.09031,0.905808,1,0.398209,0.900837,0.996592,0.399478,0.0372877,0.000219651,0.09031
9,1,0,0,0,-5.0,0.0,0.0,2,1,20,9,15,83.5477512799,0.0903349,0.0903349,0.0903349,0.0903349,0.0903349,0.0903349,0.894964,1,0.438789,0.890108,0.996723,0.439619,0.0402044,0.000254224,0.0903349
10,1,0,0,0,-4.0,0.0,0.0,2,1,22,10,15,87.866233087,0.0905414,0.0905414,0.0905414,0.0905414,0.0905414,0.0905414,0.893712,1,0.450037,0.889017,0.996719,0.4504,0.0409431,0.000266854,0.0905414
11,1,0,0,0,-3.0,0.0,0.0,2,1,24,11,15,91.711702737,0.0909788,0.0909788,0.0909788,0.0909788,0.0909788,0.0909788,0.895447,1,0.443192,0.890743,0.996651,0.443243,0.0404504,0.000262255,0.0909788
12,1,0,0,0,-2.0,0.0,0.0,2,1,26,12,15,95.202635633,0.09154,0.09154,0.09154,0.09154,0.09154,0.09154,0.9002,1,0.431568,0.895506,0.996563,0.431625,0.039636,0.000254107,0.09154
13,1,0,0,0,-1.0,0.0,0.0,2,1,28,13,15,98.4427422253,0.0921419,0.0921419,0.0921419,0.0921419,0.0921419,0.0921419,0.906013,1,0.418814,0.901299,0.996471,0.418835,0.0387153,0.000246989,0.0921419
