T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606719259,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.000620267,9.182e-22,4.63704e-22,1.32142e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,9.22004e-23,0.994946,0.994946,6.22836e-05,4.65624e-23,1.32689e-26,0.100414
1606719260,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.000620297,3.18526e-21,3.31607e-22,1.12074e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,3.32981e-23,0.994946,0.994946,6.22867e-05,3.19846e-22,1.12539e-26,0.100414
1606719261,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.000620562,2.27599e-21,7.53042e-22,7.63732e-26,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,2.28541e-22,0.994946,0.994946,6.23133e-05,7.56162e-23,7.66896e-27,0.100414
1606719262,9.95874,9.95874,9.90841,9.90841,1,1,1,1,1,1,1,0.000620447,1.14095e-21,4.62739e-23,2.15352e-24,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,1.14568e-22,0.994946,0.994946,6.23017e-05,4.64656e-24,2.16244e-25,0.100414
1606719263,9.95874,9.95874,9.90841,9.90841,1,1,1,1,1,1,1,0.000620496,8.96385e-22,5.49718e-22,4.3412e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,5.51996e-23,0.994946,0.994946,6.23067e-05,9.00098e-23,4.35919e-26,0.100414
1606719264,9.95874,9.95874,9.9084,9.9084,1,1,1,1,1,1,1,0.000620605,2.63464e-21,3.68343e-22,2.29782e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,2.64556e-22,0.994946,0.994946,6.23177e-05,3.69869e-23,2.30734e-26,0.100414
1606719265,9.95873,9.95873,9.9084,9.9084,1,1,1,1,1,1,1,0.000620553,3.60091e-21,1.2314e-22,4.21611e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,1.2365e-23,0.994946,0.994946,6.23125e-05,3.61583e-22,4.23358e-26,0.100414
1606719266,9.95873,9.95873,9.90839,9.90839,1,1,1,1,1,1,1,0.000620391,2.87823e-21,3.79659e-22,4.63068e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,3.81232e-23,0.994946,0.994946,6.22962e-05,2.89015e-22,4.64987e-26,0.100414
1606719267,9.95872,9.95872,9.90839,9.90839,1,1,1,1,1,1,1,0.000620404,3.99452e-21,5.90859e-23,2.52051e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,5.93308e-24,0.994946,0.994946,6.22976e-05,4.01107e-22,2.53096e-26,0.100414
1606719268,10.029,10.029,9.97906,9.97906,1,1,1,1,1,1,1,0.000626546,2.42779e-21,9.60521e-22,5.07855e-25,0.0997104,0.0997104,0.0997104,0.0997104,0.0997104,0.0997104,1,1,2.42076e-22,0.995016,0.995016,6.24732e-05,9.5774e-23,5.06384e-26,0.0997104
