T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606610911,9.89571,9.89571,9.84506,9.84506,1,1,1,1,1,1,1,0.000615144,8.56865e-22,2.42193e-22,1.59495e-24,0.101054,0.101054,0.101054,0.101054,0.101054,0.101054,1,1,2.44745e-23,0.994881,0.994881,6.21627e-05,8.65895e-23,1.61176e-25,0.101054
1606610912,14.0945,14.0786,14.0235,14.0072,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,0.676395,0.673084,0.0686114,2.86143e-05,0.100338,0.100338,0.100338,0.100338,0.100338,0.100338,0.998871,1,0.0477552,0.993807,0.994965,0.04799,0.00486796,2.03018e-06,0.100338
1606610913,17.3028,17.2858,17.2161,17.1978,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,0.792482,0.770784,0.0803714,0.000201016,0.100102,0.100102,0.100102,0.100102,0.100102,0.100102,0.999018,1,0.0445468,0.993933,0.994988,0.0458008,0.00464499,1.16175e-05,0.100102
1606610914,20.1211,20.0774,20.0219,19.9754,2,2,2,2,2,2,2,1.36384,1.33326,0.13816,0.000267194,0.0993982,0.0993982,0.0993982,0.0993982,0.0993982,0.0993982,0.997826,1,0.0662618,0.99276,0.995071,0.0677816,0.00686642,1.32793e-05,0.0993982
1606610915,22.5948,22.5393,22.4845,22.4259,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,1.62211,1.59043,0.164286,0.000281206,0.0989639,0.0989639,0.0989639,0.0989639,0.0989639,0.0989639,0.997546,1,0.0703894,0.992524,0.995117,0.0717916,0.00727099,1.24456e-05,0.0989639
1606610916,24.9576,24.8595,24.8382,24.7359,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.25137,2.223,0.227762,0.000356158,0.098146,0.098146,0.098146,0.098146,0.098146,0.098146,0.996067,1,0.0890708,0.991117,0.995213,0.0902077,0.00912596,1.42705e-05,0.098146
1606610917,27.1197,26.9985,26.9916,26.8648,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,2.61339,2.57527,0.264272,0.00088856,0.0975583,0.0975583,0.0975583,0.0975583,0.0975583,0.0975583,0.99553,1,0.0949594,0.990601,0.995276,0.0963651,0.00974465,3.27644e-05,0.0975583
1606610918,29.2764,29.1413,29.0805,28.952,3.39697,3.31638,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,0.334801,0.00687487,0.0966113,0.0966113,0.0966113,0.0966113,0.0966113,0.0966113,0.993311,1,0.116031,0.988921,0.995388,0.113278,0.0114359,0.000234827,0.0966113
1606610919,31.284,31.1421,31.0551,30.9154,3.79679,3.75073,3,3,3,3,3,3,3,0.378452,0.00855042,0.0958956,0.0958956,0.0958956,0.0958956,0.0958956,0.0958956,0.992681,1,0.121365,0.988219,0.995465,0.119893,0.0120973,0.000273316,0.0958956
1606610920,33.3295,33.1822,33.0259,32.882,4.51138,4.45334,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,0.44872,0.00858595,0.0948791,0.0948791,0.0948791,0.0948791,0.0948791,0.0948791,0.990888,1,0.135357,0.986573,0.99558,0.133615,0.0134631,0.000257608,0.0948791
1606610921,35.2621,35.1093,34.9048,34.7584,5.03134,4.95138,3.31662,3.31662,3.31662,3.31662,3.31662,3.31662,3.31662,0.4985,0.00867702,0.0940564,0.0940564,0.0940564,0.0940564,0.0940564,0.0940564,0.989869,1,0.142684,0.985716,0.995667,0.140416,0.014137,0.000246072,0.0940564
1606610922,37.2646,37.1077,36.8181,36.6688,5.77996,5.68984,3.4641,3.4641,3.4641,3.4641,3.4641,3.4641,3.4641,0.571896,0.00868398,0.0929595,0.0929595,0.0929595,0.0929595,0.0929595,0.0929595,0.988017,1,0.155106,0.984012,0.995788,0.152687,0.0153469,0.000233036,0.0929595
1606610923,39.169,39.0077,38.6619,38.5065,6.31376,6.23323,3.60555,3.60555,3.60555,3.60555,3.60555,3.60555,3.60555,0.62593,0.00902105,0.0920511,0.0920511,0.0920511,0.0920511,0.0920511,0.0920511,0.987052,1,0.161193,0.983086,0.995883,0.159137,0.0159802,0.000230311,0.0920511
1606610924,40.9345,40.7793,39.2074,39.0368,11.8209,11.7933,3.74166,3.74166,3.74166,3.74166,3.74166,3.74166,3.74166,1.14956,0.00939094,0.091406,0.091406,0.091406,0.091406,0.091406,0.091406,0.957808,1,0.288776,0.953641,0.99621,0.288103,0.0280831,0.000229414,0.091406
