T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1605759484,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000611732,2.71164e-22,1.84101e-25,1.62115e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.5935e+25,1.37603e+23,1.20912e+22,5.20474e+18,5.99723e+20,9.95271e+20,1.33937e+24,1.56071e+26,1.20238e+19
1605759485,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000613273,1.12107e-21,5.45778e-25,2.48242e-27,0.25,0.25,0.25,0.25,0.25,0.25,9.88906e+24,4.5234e+22,3.38445e+22,1.7073e+18,3.69587e+20,6.1922e+20,4.51119e+23,9.68562e+25,6.35267e+18
1605759486,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000612097,1.79794e-22,3.34256e-25,1.60116e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.76189e+25,7.25365e+22,7.7834e+22,2.92867e+18,6.62014e+20,1.1011e+21,7.40896e+23,1.72565e+26,6.84366e+18
1605759487,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608678,7.27758e-22,4.15756e-25,9.00225e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.83224e+24,6.15375e+22,1.25853e+21,2.33979e+18,1.08045e+20,1.76015e+20,5.95177e+23,2.77397e+25,8.29358e+17
1605759487,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000604735,2.15728e-21,1.47189e-25,5.81968e-27,0.25,0.25,0.25,0.25,0.25,0.25,4.41429e+24,1.73767e+23,5.17076e+21,6.69487e+18,1.71261e+20,2.7256e+20,1.68828e+24,4.32351e+25,4.97065e+17
1605759488,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000606406,1.20863e-21,1.5572e-25,1.72265e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.47434e+24,1.63465e+23,8.73994e+21,6.30025e+18,5.6796e+19,9.12406e+19,1.60506e+24,1.44399e+25,7.88311e+16
1605759489,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.00060538,2.10251e-21,2.67883e-25,2.40917e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.06743e+24,9.54518e+22,4.00525e+21,3.66709e+18,4.13025e+19,6.59603e+19,9.30168e+23,1.04552e+25,4.87163e+17
1605759490,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608173,6.41391e-22,4.2559e-25,1.08889e-27,0.25,0.25,0.25,0.25,0.25,0.25,4.70392e+22,2.32742e+25,1.6395e+23,8.89869e+20,2.27343e+18,1.69557e+19,2.27958e+26,5.82311e+23,1.90646e+19
1605759490,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000607984,4.72334e-22,1.08418e-24,2.05457e-27,0.25,0.25,0.25,0.25,0.25,0.25,3.11991e+22,1.27085e+25,9.7359e+22,4.86251e+20,9.12411e+17,1.48267e+19,1.24473e+26,2.33403e+23,5.28195e+18
1605759491,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.00061409,7.43305e-22,2.64523e-25,1.52332e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.02293e+23,1.59874e+24,1.03278e+22,5.9553e+19,3.74321e+18,8.36878e+18,1.56598e+25,9.84776e+23,8.21901e+17
1605759492,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000612427,1.70362e-22,1.31479e-24,6.62768e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.15988e+22,4.15358e+24,1.9659e+22,1.55741e+20,6.50828e+17,4.02565e+18,4.06817e+25,1.69626e+23,1.74133e+18
1605759492,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.0006121,3.35104e-23,1.72948e-25,4.56203e-27,0.25,0.25,0.25,0.25,0.25,0.25,6.11177e+24,1.55779e+23,4.31005e+21,6.07991e+18,2.29644e+20,3.8195e+20,1.46365e+24,5.98615e+25,6.88327e+18
1605759493,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000614631,1.10744e-21,1.26171e-25,7.23807e-27,0.25,0.25,0.25,0.25,0.25,0.25,3.47778e+24,2.03067e+23,1.00446e+22,7.41333e+18,1.29173e+20,2.18273e+20,1.95129e+24,3.40645e+25,3.53169e+18
1605759494,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000614122,6.75607e-22,9.72664e-26,1.72304e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.4137e+25,2.83643e+23,1.52545e+23,9.89408e+18,5.26329e+20,8.86577e+20,2.60903e+24,1.38472e+26,9.51948e+18
1605759495,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000616463,3.06404e-21,3.3107e-26,1.03988e-26,0.25,0.25,0.25,0.25,0.25,0.25,2.32229e+24,7.82309e+23,3.74287e+22,2.89139e+19,8.54843e+19,1.45862e+20,7.6921e+24,2.27379e+25,6.37095e+17
1605759495,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000617361,3.35802e-21,1.88695e-25,3.85959e-27,0.25,0.25,0.25,0.25,0.25,0.25,6.51815e+24,1.40942e+23,1.10034e+23,4.81711e+18,2.39028e+20,4.10988e+20,1.28799e+24,6.38512e+25,1.36292e+18
