T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606719220,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.00061076,9.22397e-24,1.27436e-24,4.65234e-30,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,9.36906e-25,0.994828,0.994828,6.20367e-05,4.72552e-31,1.2944e-25,0.101573
1606719221,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610765,2.40142e-24,1.90781e-28,8.49826e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.43919e-25,0.994828,0.994828,6.20372e-05,1.93782e-29,8.63194e-30,0.101573
1606719222,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610765,2.75208e-24,4.9686e-25,4.83262e-30,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.79537e-25,0.994828,0.994828,6.20373e-05,4.90864e-31,5.04676e-26,0.101573
1606719223,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610771,2.56486e-24,8.49788e-25,2.82882e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.60521e-25,0.994828,0.994828,6.20379e-05,2.87332e-30,8.63156e-26,0.101573
1606719224,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610776,1.62099e-23,2.0469e-25,4.65447e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.64649e-24,0.994828,0.994828,6.20384e-05,4.72769e-30,2.0791e-26,0.101573
1606719225,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.00061078,1.3855e-23,3.74059e-26,3.37341e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.40729e-24,0.994828,0.994828,6.20387e-05,3.42647e-30,3.79943e-27,0.101573
1606719226,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610781,1.3557e-23,1.41239e-25,1.65775e-28,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.37703e-24,0.994828,0.994828,6.20388e-05,1.4346e-26,1.68383e-29,0.101573
1606719227,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.00061078,7.94398e-24,1.31812e-25,8.5829e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,8.06894e-25,0.994828,0.994828,6.20388e-05,8.71791e-30,1.33885e-26,0.101573
1606719228,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610781,4.38539e-24,4.91328e-25,4.81971e-29,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,4.45437e-25,0.994828,0.994828,6.20389e-05,4.89553e-30,4.99056e-26,0.101573
1606719229,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610782,7.08961e-24,4.46433e-25,1.10124e-28,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,7.20113e-25,0.994828,0.994828,6.2039e-05,4.53455e-26,1.11857e-29,0.101573
