T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606719231,9.84504,9.84504,9.79412,9.79412,1,1,1,1,1,1,1,0.000610754,5.14066e-24,3.53692e-26,3.43661e-29,0.101574,0.101574,0.101574,0.101574,0.101574,0.101574,1,1,5.22157e-25,0.994828,0.994828,6.20367e-05,3.59259e-27,3.4907e-30,0.101574
1606719232,13.921,13.921,13.8489,13.8489,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,0.000863611,0.000216331,0.000214068,3.2133e-08,0.101589,0.101589,0.101589,0.101589,0.101589,0.101589,1,1,2.30825e-09,0.994826,0.994826,6.20367e-05,1.554e-05,1.53774e-05,0.101589
1606719233,17.0454,17.0454,16.9572,16.9572,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,0.00105743,0.000714311,0.000652901,0.000120414,0.101614,0.101614,0.101614,0.101614,0.101614,0.101614,1,1,7.06431e-06,0.994824,0.994824,6.20362e-05,4.19064e-05,3.83036e-05,0.101614
1606719234,19.6788,19.6788,19.5769,19.5769,2,2,2,2,2,2,2,0.00122079,0.000998066,0.000914467,0.000121183,0.101632,0.101632,0.101632,0.101632,0.101632,0.101632,1,1,6.15803e-06,0.994822,0.994822,6.20359e-05,5.07178e-05,4.64697e-05,0.101632
1606719235,21.9989,21.9989,21.885,21.885,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,0.00136472,0.00116796,0.00107504,0.000125183,0.101644,0.101644,0.101644,0.101644,0.101644,0.101644,1,1,5.69041e-06,0.994821,0.994821,6.20357e-05,5.30916e-05,4.8868e-05,0.101644
1606719236,24.0966,24.0966,23.9718,23.9718,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,0.00149485,0.00128355,0.00118627,0.000132634,0.101653,0.101653,0.101653,0.101653,0.101653,0.101653,1,1,5.50425e-06,0.99482,0.99482,6.20355e-05,5.32666e-05,4.92299e-05,0.101653
1606719237,26.0257,26.0257,25.8909,25.8909,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,0.00161452,0.00137198,0.00127316,0.000144037,0.101659,0.101659,0.101659,0.101659,0.101659,0.101659,1,1,5.53441e-06,0.994819,0.994819,6.20354e-05,5.27162e-05,4.89191e-05,0.101659
1606719238,27.8214,27.8214,27.6773,27.6773,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,0.00172591,0.00144656,0.00134813,0.000159192,0.101664,0.101664,0.101664,0.101664,0.101664,0.101664,1,1,5.72192e-06,0.994819,0.994819,6.20354e-05,5.19946e-05,4.84565e-05,0.101664
1606719239,29.508,29.508,29.3551,29.3551,3,3,3,3,3,3,3,0.00183054,0.00151473,0.00141818,0.000177576,0.101667,0.101667,0.101667,0.101667,0.101667,0.101667,1,1,6.01787e-06,0.994818,0.994818,6.20353e-05,5.13328e-05,4.80607e-05,0.101667
1606719240,31.1033,31.1033,30.9421,30.9421,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,0.0019295,0.0015811,0.00148765,0.000198534,0.10167,0.10167,0.10167,0.10167,0.10167,0.10167,1,1,6.38305e-06,0.994818,0.994818,6.20352e-05,5.08337e-05,4.78295e-05,0.10167
1606719241,32.6206,32.6206,32.4516,32.4516,3.31662,3.31662,3.31662,3.31662,3.31662,3.31662,3.31662,0.00202363,0.00164816,0.00155874,0.000220968,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,1,1,6.77388e-06,0.994818,0.994818,6.20352e-05,5.05249e-05,4.7784e-05,0.101673
1606719242,34.0705,34.0705,33.8939,33.8939,3.4641,3.4641,3.4641,3.4641,3.4641,3.4641,3.4641,0.00211357,0.0017179,0.00163323,0.00024423,0.101675,0.101675,0.101675,0.101675,0.101675,0.101675,1,1,7.16837e-06,0.994818,0.994818,6.20352e-05,5.0422e-05,4.79368e-05,0.101675
1606719243,35.4611,35.4611,35.2773,35.2773,3.60555,3.60555,3.60555,3.60555,3.60555,3.60555,3.60555,0.00219983,0.00179149,0.00171201,0.000267614,0.101676,0.101676,0.101676,0.101676,0.101676,0.101676,1,1,7.5467e-06,0.994817,0.994817,6.20351e-05,5.05198e-05,4.82786e-05,0.101676
1606719244,36.7992,36.7992,36.6085,36.6085,3.74166,3.74166,3.74166,3.74166,3.74166,3.74166,3.74166,0.00228284,0.00186987,0.00179587,0.000290675,0.101678,0.101678,0.101678,0.101678,0.101678,0.101678,1,1,7.89896e-06,0.994817,0.994817,6.20351e-05,5.08128e-05,4.88019e-05,0.101678
1606719245,38.0903,38.0903,37.8929,37.8929,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,0.00236294,0.00195377,0.00188535,0.000313076,0.101679,0.101679,0.101679,0.101679,0.101679,0.101679,1,1,8.21932e-06,0.994817,0.994817,6.20351e-05,5.12932e-05,4.94968e-05,0.101679
1606719246,39.3391,39.3391,39.1352,39.1352,4,4,4,4,4,4,4,0.0024404,0.0020433,0.00198037,0.000334438,0.10168,0.10168,0.10168,0.10168,0.10168,0.10168,1,1,8.50143e-06,0.994817,0.994817,6.20351e-05,5.19407e-05,5.03411e-05,0.10168
1606719247,40.5494,40.5494,40.3393,40.3393,4.12311,4.12311,4.12311,4.12311,4.12311,4.12311,4.12311,0.00251549,0.00213849,0.00208086,0.000354557,0.101681,0.101681,0.101681,0.101681,0.101681,0.101681,1,1,8.74382e-06,0.994817,0.994817,6.20351e-05,5.27379e-05,5.13166e-05,0.101681
1606719248,41.7247,41.7247,41.5084,41.5084,4.24264,4.24264,4.24264,4.24264,4.24264,4.24264,4.24264,0.00258839,0.0022402,0.00218763,0.000373539,0.101682,0.101682,0.101682,0.101682,0.101682,0.101682,1,1,8.95247e-06,0.994817,0.994817,6.2035e-05,5.36901e-05,5.24302e-05,0.101682
1606719249,42.8677,42.8677,42.6455,42.6455,4.3589,4.3589,4.3589,4.3589,4.3589,4.3589,4.3589,0.0026593,0.00234757,0.00229972,0.000391119,0.101683,0.101683,0.101683,0.101683,0.101683,0.101683,1,1,9.12387e-06,0.994817,0.994817,6.2035e-05,5.47632e-05,5.3647e-05,0.101683
1606719250,43.981,43.981,43.7531,43.7531,4.47214,4.47214,4.47214,4.47214,4.47214,4.47214,4.47214,0.00272836,0.00246064,0.00241714,0.000407356,0.101683,0.101683,0.101683,0.101683,0.101683,0.101683,1,1,9.26208e-06,0.994817,0.994817,6.2035e-05,5.59478e-05,5.49588e-05,0.101683
1606719251,45.0669,45.0669,44.8333,44.8333,4.58258,4.58258,4.58258,4.58258,4.58258,4.58258,4.58258,0.00279572,0.00257932,0.00253982,0.000422309,0.101684,0.101684,0.101684,0.101684,0.101684,0.101684,1,1,9.37072e-06,0.994817,0.994817,6.2035e-05,5.72333e-05,5.63566e-05,0.101684
1606719252,46.1271,46.1271,45.888,45.888,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,0.0028615,0.00270367,0.0026678,0.000436074,0.101685,0.101685,0.101685,0.101685,0.101685,0.101685,1,1,9.45374e-06,0.994817,0.994817,6.2035e-05,5.86135e-05,5.78357e-05,0.101685
1606719253,47.1636,47.1636,46.9191,46.9191,4.79583,4.79583,4.79583,4.79583,4.79583,4.79583,4.79583,0.00292579,0.00283333,0.00280074,0.000448697,0.101685,0.101685,0.101685,0.101685,0.101685,0.101685,1,1,9.51363e-06,0.994817,0.994817,6.2035e-05,6.00745e-05,5.93835e-05,0.101685
1606719254,48.1778,48.1778,47.928,47.928,4.89898,4.89898,4.89898,4.89898,4.89898,4.89898,4.89898,0.00298871,0.0029681,0.00293847,0.000460264,0.101686,0.101686,0.101686,0.101686,0.101686,0.101686,1,1,9.55345e-06,0.994816,0.994816,6.2035e-05,6.16072e-05,6.09923e-05,0.101686
1606719255,49.171,49.171,48.9161,48.9161,5,5,5,5,5,5,5,0.00310785,0.00308088,0.00305032,0.000470865,0.101686,0.101686,0.101686,0.101686,0.101686,0.101686,1,1,9.57607e-06,0.994816,0.994816,6.2035e-05,6.32049e-05,6.26565e-05,0.101686
1606719256,50.1446,50.1446,49.8847,49.8847,5.09902,5.09902,5.09902,5.09902,5.09902,5.09902,5.09902,0.00325254,0.00322797,0.00311072,0.000480595,0.101686,0.101686,0.101686,0.101686,0.101686,0.101686,1,1,9.58419e-06,0.994816,0.994816,6.2035e-05,6.48633e-05,6.43733e-05,0.101686
1606719257,51.0996,51.0996,50.8347,50.8347,5.19615,5.19615,5.19615,5.19615,5.19615,5.19615,5.19615,0.00340177,0.00337935,0.00316996,0.000489513,0.101687,0.101687,0.101687,0.101687,0.101687,0.101687,1,1,9.57958e-06,0.994816,0.994816,6.2035e-05,6.65714e-05,6.61325e-05,0.101687
1606719258,52.0371,52.0371,51.7674,51.7674,5.2915,5.2915,5.2915,5.2915,5.2915,5.2915,5.2915,0.00355537,0.00353486,0.00322812,0.000497695,0.101687,0.101687,0.101687,0.101687,0.101687,0.101687,1,1,9.56422e-06,0.994816,0.994816,6.20349e-05,6.83237e-05,6.79297e-05,0.101687
1606719259,52.958,52.958,52.6835,52.6835,5.38516,5.38516,5.38516,5.38516,5.38516,5.38516,5.38516,0.00371318,0.00369439,0.00328525,0.000505212,0.101687,0.101687,0.101687,0.101687,0.101687,0.101687,1,1,9.53985e-06,0.994816,0.994816,6.20349e-05,7.01154e-05,6.97607e-05,0.101687
1606719260,53.8632,53.8632,53.584,53.584,5.47723,5.47723,5.47723,5.47723,5.47723,5.47723,5.47723,0.00387509,0.00385785,0.0033414,0.000512131,0.101688,0.101688,0.101688,0.101688,0.101688,0.101688,1,1,9.50799e-06,0.994816,0.994816,6.20349e-05,7.19433e-05,7.16232e-05,0.101688
1606719261,54.7534,54.7534,54.4696,54.4696,5.56776,5.56776,5.56776,5.56776,5.56776,5.56776,5.56776,0.00404119,0.00402534,0.00339662,0.00051852,0.101688,0.101688,0.101688,0.101688,0.101688,0.101688,1,1,9.4701e-06,0.994816,0.994816,6.20349e-05,7.38071e-05,7.35176e-05,0.101688
1606719262,55.6294,55.6294,55.341,55.341,5.65685,5.65685,5.65685,5.65685,5.65685,5.65685,5.65685,0.00421116,0.00419656,0.00345096,0.000524421,0.101688,0.101688,0.101688,0.101688,0.101688,0.101688,1,1,9.42705e-06,0.994816,0.994816,6.20349e-05,7.57003e-05,7.54378e-05,0.101688
1606719263,56.4918,56.4918,56.1989,56.1989,5.74456,5.74456,5.74456,5.74456,5.74456,5.74456,5.74456,0.00438457,0.00437109,0.00350446,0.000529867,0.101689,0.101689,0.101689,0.101689,0.101689,0.101689,1,1,9.37954e-06,0.994816,0.994816,6.20349e-05,7.76143e-05,7.73756e-05,0.101689
1606719264,57.3412,57.3412,57.0439,57.0439,5.83095,5.83095,5.83095,5.83095,5.83095,5.83095,5.83095,0.00456162,0.00454916,0.00355716,0.000534915,0.101689,0.101689,0.101689,0.101689,0.101689,0.101689,1,1,9.32864e-06,0.994816,0.994816,6.20349e-05,7.95523e-05,7.93349e-05,0.101689
1606719265,58.1782,58.1782,57.8766,57.8766,5.91608,5.91608,5.91608,5.91608,5.91608,5.91608,5.91608,0.00474237,0.00473082,0.00360908,0.000539608,0.101689,0.101689,0.101689,0.101689,0.101689,0.101689,1,1,9.27509e-06,0.994816,0.994816,6.20349e-05,8.15147e-05,8.13161e-05,0.101689
1606719266,59.0033,59.0033,58.6975,58.6975,6,6,6,6,6,6,6,0.00492656,0.00491583,0.00366027,0.000543973,0.101689,0.101689,0.101689,0.101689,0.101689,0.101689,1,1,9.21935e-06,0.994816,0.994816,6.20349e-05,8.34962e-05,8.33145e-05,0.101689
1606719267,59.8171,59.8171,59.507,59.507,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,0.00511372,0.00510375,0.00371075,0.000548029,0.101689,0.101689,0.101689,0.101689,0.101689,0.101689,1,1,9.16175e-06,0.994816,0.994816,6.20349e-05,8.54893e-05,8.53226e-05,0.101689
