T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1605770286,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000617056,4.70059e-20,3.5689e-24,6.47376e-25,0.25,0.25,0.25,0.25,0.25,0.25,3.60533e+22,4.58615e+20,7.78344e+22,4.85595e+18,1.35256e+18,2.28653e+18,4.18536e+19,2.80292e+23,2.59433e+18
1605770287,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000615195,2.52632e-20,1.27094e-23,7.91783e-25,0.25,0.25,0.25,0.25,0.25,0.25,2.94741e+22,2.46956e+19,1.78646e+22,1.08593e+18,1.11209e+18,1.85648e+18,6.44514e+18,2.73975e+23,4.01365e+18
1605770288,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000616408,5.69069e-20,3.0991e-24,3.70038e-25,0.25,0.25,0.25,0.25,0.25,0.25,5.60572e+22,3.21752e+20,8.64102e+22,5.42338e+18,2.10355e+18,3.46952e+18,3.4758e+19,6.30397e+23,1.52246e+19
1605770289,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000614618,1.75366e-20,2.2948e-23,1.60875e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.42792e+23,1.40194e+21,1.50644e+24,9.38364e+19,5.3823e+18,9.41734e+18,1.27351e+20,2.57025e+22,1.23668e+19
1605770289,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000612141,1.66902e-20,2.43269e-22,5.72328e-26,0.25,0.25,0.25,0.25,0.25,0.25,4.00671e+23,5.96903e+19,4.89784e+22,2.60419e+18,1.53734e+19,2.48973e+19,4.01939e+17,3.97401e+24,1.22979e+20
1605770290,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.0006107,1.52728e-19,4.39093e-24,4.97457e-26,0.25,0.25,0.25,0.25,0.25,0.25,5.37194e+23,7.40354e+20,1.61716e+22,3.40578e+17,2.07407e+19,3.32459e+19,4.62208e+19,5.26901e+24,1.97433e+20
1605770291,9.89579,9.89579,9.84513,9.84513,1,1,1,1,1,1,1,0.000610869,3.22138e-19,7.49222e-24,3.59797e-26,0.25,0.25,0.25,0.25,0.25,0.25,5.80998e+23,2.58941e+20,1.03756e+23,5.91618e+18,2.24097e+19,3.60486e+19,6.95564e+19,5.79972e+24,2.40474e+20
1605770292,9.89578,9.89578,9.84513,9.84513,1,1,1,1,1,1,1,0.000611115,4.01327e-19,2.7507e-24,7.70775e-26,0.25,0.25,0.25,0.25,0.25,0.25,3.26385e+23,8.40722e+20,1.20343e+23,7.10294e+18,1.25866e+19,2.03328e+19,1.10683e+20,3.33118e+24,1.48414e+20
1605770292,9.89578,9.89578,9.84513,9.84513,1,1,1,1,1,1,1,0.000613537,1.27298e-19,1.15042e-24,5.78405e-25,0.25,0.25,0.25,0.25,0.25,0.25,6.86625e+21,1.28649e+21,2.72935e+23,1.69747e+19,2.4512e+17,2.5941e+17,1.29216e+20,2.32133e+23,6.53231e+17
1605770293,9.89578,9.89578,9.84512,9.84512,1,1,1,1,1,1,1,0.00061817,1.23554e-19,3.79756e-24,1.28915e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.7857e+23,1.30029e+22,1.61541e+24,1.01279e+20,6.69881e+18,1.06735e+19,1.32479e+21,5.18727e+22,1.32139e+20
1605770294,9.89578,9.89578,9.84512,9.84512,1,1,1,1,1,1,1,0.000621233,2.47715e-19,5.86643e-24,8.14633e-26,0.25,0.25,0.25,0.25,0.25,0.25,3.21142e+23,4.40997e+20,3.5203e+21,2.96832e+17,1.18045e+19,2.02244e+19,8.23792e+19,3.14046e+24,1.98754e+20
1605770295,9.89578,9.89578,9.84512,9.84512,1,1,1,1,1,1,1,0.000624144,2.57504e-19,1.21618e-23,4.0477e-26,0.25,0.25,0.25,0.25,0.25,0.25,5.83007e+23,3.31255e+20,3.34982e+22,2.48571e+18,2.10966e+19,3.68845e+19,9.38891e+19,5.74582e+24,4.00504e+20
1605770295,10.6759,10.6759,10.6289,10.6289,1,1,1,1,1,1,1,0.000770935,2.33796e-17,1.34702e-22,2.64628e-26,0.25,0.25,0.25,0.25,0.25,0.25,3.18476e+22,1.5008e+24,3.20965e+24,2.56698e+20,8.15455e+18,5.69239e+18,1.57954e+23,7.61423e+21,2.4248e+21
1605770296,11.7086,11.7086,11.6658,11.6658,1,1,1,1,1,1,1,0.000850669,1.99755e-17,8.53212e-25,2.30708e-26,0.25,0.25,0.25,0.25,0.25,0.25,3.34947e+23,5.78508e+23,6.21984e+23,7.70265e+18,1.83953e+19,2.20236e+19,1.05734e+25,1.17697e+20,1.43447e+20
1605770297,11.7085,11.7085,11.6657,11.6657,1,1,1,1,1,1,1,0.000838911,3.34036e-17,2.02081e-24,3.91939e-25,0.25,0.25,0.25,0.25,0.25,0.25,8.38927e+22,5.5509e+22,7.44754e+22,6.37956e+18,3.96821e+18,5.14198e+18,4.85669e+23,1.80271e+19,1.16166e+19
1605770298,11.7083,11.7083,11.6655,11.6655,1,1,1,1,1,1,1,0.000786335,3.43681e-17,6.38355e-24,9.32557e-26,0.25,0.25,0.25,0.25,0.25,0.25,2.31916e+23,3.21194e+22,1.87289e+23,7.59986e+18,1.12549e+19,1.45287e+19,3.48508e+24,3.23117e+19,2.12179e+19
1605770298,11.7084,11.7084,11.6656,11.6656,1,1,1,1,1,1,1,0.000661273,2.2348e-17,1.46238e-24,8.98463e-26,0.25,0.25,0.25,0.25,0.25,0.25,3.37119e+23,1.3568e+23,8.13845e+22,1.62324e+19,4.30564e+18,2.06499e+19,4.05208e+24,3.17106e+20,2.05031e+20
1605770299,11.7086,11.7086,11.6659,11.6659,1,1,1,1,1,1,1,0.000486143,6.13767e-18,3.25795e-24,1.55405e-24,0.25,0.25,0.25,0.25,0.25,0.25,3.21232e+22,4.2673e+22,4.14619e+22,7.12083e+16,1.60178e+18,1.96516e+18,2.42491e+23,2.05142e+20,1.32767e+20
1605770300,11.7091,11.7091,11.6663,11.6663,1,1,1,1,1,1,1,0.000363729,4.67064e-17,2.23054e-24,1.42503e-25,0.25,0.25,0.25,0.25,0.25,0.25,3.18074e+22,1.57785e+23,1.92118e+23,1.79707e+19,1.59775e+18,1.3752e+18,2.80607e+24,2.13263e+20,1.38157e+20
1605770301,11.7096,11.7096,11.6668,11.6668,1,1,1,1,1,1,1,0.000406494,3.11356e-18,1.33087e-23,7.02317e-26,0.25,0.25,0.25,0.25,0.25,0.25,9.8647e+22,3.42305e+23,2.52138e+23,2.82933e+19,4.83016e+18,7.03173e+18,5.08991e+24,2.92452e+19,1.95272e+19
1605770302,11.71,11.71,11.6673,11.6673,1,1,1,1,1,1,1,0.000543407,1.65147e-17,7.50954e-24,3.35453e-25,0.25,0.25,0.25,0.25,0.25,0.25,4.75746e+22,5.10121e+22,1.61987e+22,3.32271e+18,6.51864e+17,3.0339e+18,7.81108e+23,3.6571e+19,2.36157e+19
1605770302,11.7104,11.7104,11.6676,11.6676,1,1,1,1,1,1,1,0.0007136,5.02234e-18,3.83986e-24,7.95859e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.46463e+23,3.828e+22,1.56518e+23,8.07209e+18,9.41849e+18,9.26297e+18,2.47972e+24,2.5267e+19,1.65587e+19
1605770303,11.7104,11.7104,11.6676,11.6676,1,1,1,1,1,1,1,0.00080297,2.02959e-17,4.06195e-24,7.50091e-26,0.25,0.25,0.25,0.25,0.25,0.25,8.61944e+22,1.67528e+22,1.18839e+23,1.49928e+18,7.5749e+18,5.08045e+18,1.58408e+24,1.28491e+20,8.32474e+19
1605770304,11.7102,11.7102,11.6674,11.6674,1,1,1,1,1,1,1,0.000843617,1.13737e-17,4.41127e-24,4.70563e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.2019e+22,1.48654e+22,5.64404e+22,2.97228e+18,2.73675e+18,1.04981e+18,1.4397e+23,2.86733e+20,1.85569e+20
