T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606719277,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.00062066,1.21135e-21,5.31862e-23,7.8892e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,5.34065e-24,0.994946,0.994946,6.23231e-05,1.21637e-22,7.92188e-26,0.100414
1606719278,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.000620236,8.50343e-22,1.34266e-23,4.5937e-26,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,1.34822e-24,0.994946,0.994946,6.22805e-05,8.53866e-23,4.61273e-27,0.100414
1606719279,9.95875,9.95875,9.90841,9.90841,1,1,1,1,1,1,1,0.000620938,1.3369e-21,2.71444e-22,4.78058e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,2.72569e-23,0.994946,0.994946,6.23511e-05,1.34243e-22,4.80038e-26,0.100414
1606719280,9.95874,9.95874,9.90841,9.90841,1,1,1,1,1,1,1,0.000620295,1.51461e-21,5.53189e-22,2.94342e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,1.52088e-22,0.994946,0.994946,6.22865e-05,5.55481e-23,2.95562e-26,0.100414
1606719281,9.95874,9.95874,9.90841,9.90841,1,1,1,1,1,1,1,0.000620632,2.21681e-21,2.01458e-22,3.4252e-24,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,2.226e-22,0.994946,0.994946,6.23203e-05,2.02293e-23,3.43939e-25,0.100414
1606719282,9.95874,9.95874,9.9084,9.9084,1,1,1,1,1,1,1,0.000620483,1.01387e-21,8.78235e-23,5.67593e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,8.81874e-24,0.994946,0.994946,6.23054e-05,1.01807e-22,5.69945e-26,0.100414
1606719283,9.95873,9.95873,9.9084,9.9084,1,1,1,1,1,1,1,0.000620449,1.85776e-21,6.37152e-22,5.78146e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,6.39792e-23,0.994946,0.994946,6.2302e-05,1.86546e-22,5.80542e-26,0.100414
1606719284,9.95873,9.95873,9.90839,9.90839,1,1,1,1,1,1,1,0.000620462,1.96402e-21,3.53621e-22,9.63953e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,3.55087e-23,0.994946,0.994946,6.23034e-05,1.97216e-22,9.67948e-26,0.100414
1606719285,9.95872,9.95872,9.90839,9.90839,1,1,1,1,1,1,1,0.000620457,1.19491e-21,3.74433e-23,9.36554e-25,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,3.75985e-24,0.994946,0.994946,6.23029e-05,1.19986e-22,9.40436e-26,0.100414
1606719286,9.9151,9.9151,9.86455,9.86455,1,1,1,1,1,1,1,0.0006317,8.63989e-19,2.12084e-23,1.99383e-24,0.100856,0.100856,0.100856,0.100856,0.100856,0.100856,1,1,2.0109e-25,0.994901,0.994901,6.37109e-05,8.71386e-20,2.139e-24,0.100856
1606719287,9.96925,9.96925,9.91897,9.91897,1,1,1,1,1,1,1,0.000668866,6.27802e-18,3.90632e-24,4.88532e-26,0.100308,0.100308,0.100308,0.100308,0.100308,0.100308,1,1,3.91836e-25,0.994956,0.994956,6.70929e-05,4.90038e-27,6.29738e-19,0.100308
1606719288,9.96907,9.96907,9.91878,9.91878,1,1,1,1,1,1,1,0.000670091,7.28878e-18,3.25821e-24,3.85832e-27,0.10031,0.10031,0.10031,0.10031,0.10031,0.10031,1,1,3.26832e-25,0.994956,0.994956,6.7217e-05,3.87029e-28,7.3114e-19,0.10031
1606719289,9.96888,9.96888,9.9186,9.9186,1,1,1,1,1,1,1,0.000668489,1.86733e-19,3.05628e-23,1.35592e-26,0.100312,0.100312,0.100312,0.100312,0.100312,0.100312,1,1,3.06582e-24,0.994956,0.994956,6.70576e-05,1.36015e-27,1.87316e-20,0.100312
1606719290,9.9687,9.9687,9.91841,9.91841,1,1,1,1,1,1,1,0.00066729,1.92046e-18,1.50674e-23,8.00978e-26,0.100314,0.100314,0.100314,0.100314,0.100314,0.100314,1,1,1.51147e-24,0.994956,0.994956,6.69385e-05,8.03493e-27,1.92649e-19,0.100314
1606719291,9.96853,9.96853,9.91824,9.91824,1,1,1,1,1,1,1,0.000665072,6.30289e-19,1.03122e-23,3.09572e-26,0.100316,0.100316,0.100316,0.100316,0.100316,0.100316,1,1,1.03448e-24,0.994956,0.994956,6.67172e-05,3.10549e-27,6.32279e-20,0.100316
1606719292,9.96837,9.96837,9.91808,9.91808,1,1,1,1,1,1,1,0.000662671,2.09414e-18,5.85044e-24,1.72041e-25,0.100317,0.100317,0.100317,0.100317,0.100317,0.100317,1,1,5.869e-25,0.994955,0.994955,6.64774e-05,1.72587e-26,2.10078e-19,0.100317
1606719293,9.96822,9.96822,9.91793,9.91793,1,1,1,1,1,1,1,0.000659678,2.07187e-19,6.59984e-23,3.78087e-27,0.100319,0.100319,0.100319,0.100319,0.100319,0.100319,1,1,6.62088e-24,0.994955,0.994955,6.61782e-05,3.79293e-28,2.07847e-20,0.100319
1606719294,9.96808,9.96808,9.91779,9.91779,1,1,1,1,1,1,1,0.000656585,7.32941e-18,4.27494e-24,1.06765e-25,0.10032,0.10032,0.10032,0.10032,0.10032,0.10032,1,1,4.28863e-25,0.994955,0.994955,6.58688e-05,1.07107e-26,7.35288e-19,0.10032
1606719295,9.96796,9.96796,9.91767,9.91767,1,1,1,1,1,1,1,0.000652548,1.7436e-18,6.82124e-24,1.36836e-26,0.100321,0.100321,0.100321,0.100321,0.100321,0.100321,1,1,6.84317e-25,0.994955,0.994955,6.54645e-05,1.37276e-27,1.7492e-19,0.100321
1606719296,10.078,10.078,10.0283,10.0283,1,1,1,1,1,1,1,0.000664879,4.81789e-19,9.48749e-24,2.44358e-25,0.0992262,0.0992262,0.0992262,0.0992262,0.0992262,0.0992262,1,1,9.41407e-25,0.995065,0.995065,6.59734e-05,2.42467e-26,4.78061e-20,0.0992262
1606719297,10.3322,10.3322,10.2837,10.2837,1,1,1,1,1,1,1,0.000678181,2.30516e-17,6.88414e-24,4.50968e-25,0.0967852,0.0967852,0.0967852,0.0967852,0.0967852,0.0967852,1,1,6.66283e-25,0.995305,0.995305,6.56378e-05,4.3647e-26,2.23105e-18,0.0967852
1606719298,10.3321,10.3321,10.2836,10.2836,1,1,1,1,1,1,1,0.000664061,5.34702e-18,5.44323e-24,2.21047e-25,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,1,1,5.26828e-25,0.995305,0.995305,6.42718e-05,2.13942e-26,5.17516e-19,0.0967859
1606719299,10.3321,10.3321,10.2836,10.2836,1,1,1,1,1,1,1,0.000643255,1.14715e-18,9.43657e-24,2.13947e-25,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,1,1,9.13327e-25,0.995305,0.995305,6.2258e-05,2.0707e-26,1.11028e-19,0.0967859
1606719300,10.3322,10.3322,10.2837,10.2837,1,1,1,1,1,1,1,0.000613805,6.61388e-18,3.29634e-24,1.03344e-24,0.0967852,0.0967852,0.0967852,0.0967852,0.0967852,0.0967852,1,1,3.19036e-25,0.995305,0.995305,5.94073e-05,1.00022e-25,6.40126e-19,0.0967852
1606719301,10.3323,10.3323,10.2838,10.2838,1,1,1,1,1,1,1,0.000588234,1.44312e-17,3.22408e-24,1.4287e-25,0.0967838,0.0967838,0.0967838,0.0967838,0.0967838,0.0967838,1,1,3.12038e-25,0.995305,0.995305,5.69315e-05,1.38275e-26,1.39671e-18,0.0967838
1606719302,10.3325,10.3325,10.284,10.284,1,1,1,1,1,1,1,0.000559328,4.68413e-18,7.65216e-24,2.46044e-25,0.0967818,0.0967818,0.0967818,0.0967818,0.0967818,0.0967818,1,1,7.4059e-25,0.995305,0.995305,5.41327e-05,2.38125e-26,4.53339e-19,0.0967818
1606719303,10.3328,10.3328,10.2843,10.2843,1,1,1,1,1,1,1,0.000534537,9.66101e-18,1.24446e-23,8.22129e-25,0.0967792,0.0967792,0.0967792,0.0967792,0.0967792,0.0967792,1,1,1.20437e-24,0.995306,0,5.17321e-05,7.9565e-26,9.34985e-19,0.0967792
