T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606610930,10.046,10.046,9.9961,9.9961,1,1,1,1,1,1,1,0.000627749,1.12406e-21,4.34086e-23,1.54272e-24,0.0995421,0.0995421,0.0995421,0.0995421,0.0995421,0.0995421,1,1,4.32098e-24,0.995033,0.995033,6.24875e-05,1.11892e-22,1.53566e-25,0.0995421
1606610931,14.2064,14.2056,14.1359,14.1359,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,0.155354,0.000922205,9.96072e-05,5.55141e-06,0.0995474,0.0995474,0.0995474,0.0995474,0.0995474,0.0995474,0.99994,1,0.0109355,0.995033,0.995033,6.49146e-05,7.01142e-06,3.90767e-07,0.0995474
1606610932,17.3933,17.3921,17.3068,17.3068,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,1.73205,0.205459,0.00116234,0.000857794,0.000744145,0.0995817,0.0995817,0.0995817,0.0995817,0.0995817,0.0995817,0.99993,1,0.0118126,0.995029,0.995029,6.68271e-05,4.93176e-05,4.27835e-05,0.0995817
1606610933,20.0798,20.0786,19.9799,19.9799,2,2,2,2,2,2,2,0.215869,0.0013497,0.00112923,0.000917398,0.0996026,0.0996026,0.0996026,0.0996026,0.0996026,0.0996026,0.999942,1,0.0107506,0.995027,0.995027,6.7217e-05,5.62373e-05,4.56876e-05,0.0996026
1606610934,22.4474,22.4463,22.3357,22.3357,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,0.21587,0.00152699,0.00124075,0.00102705,0.0996139,0.0996139,0.0996139,0.0996139,0.0996139,0.0996139,0.999954,1,0.00961673,0.995026,0.995026,6.80252e-05,5.52739e-05,4.57535e-05,0.0996139
1606610935,24.5884,24.5874,24.466,24.466,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,0.218801,0.00170245,0.0013082,0.00112651,0.0996199,0.0996199,0.0996199,0.0996199,0.0996199,0.0996199,0.99996,1,0.00889857,0.995025,0.995025,6.92382e-05,5.3204e-05,4.58149e-05,0.0996199
1606610936,26.5571,26.5562,26.4249,26.4249,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,2.64575,0.218917,0.00188005,0.00135281,0.00116447,0.0996251,0.0996251,0.0996251,0.0996251,0.0996251,0.0996251,0.999966,1,0.00824328,0.995025,0.995025,7.07926e-05,5.09396e-05,4.38479e-05,0.0996251
1606610937,28.3895,28.3887,28.2483,28.2483,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,2.82843,0.219025,0.0020621,0.00139457,0.0012103,0.0996293,0.0996293,0.0996293,0.0996293,0.0996293,0.0996293,0.99997,1,0.00771501,0.995024,0.995024,7.26358e-05,4.91229e-05,4.26319e-05,0.0996293
1606610938,30.1109,30.1101,29.9611,29.9611,3,3,3,3,3,3,3,0.226526,0.00225244,0.00143343,0.00128344,0.0996316,0.0996316,0.0996316,0.0996316,0.0996316,0.0996316,0.999972,1,0.00752304,0.995024,0.995024,7.48048e-05,4.76049e-05,4.26239e-05,0.0996316
1606610939,32.485,32.3388,31.712,31.5601,7.08461,7.05369,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,3.16228,0.68691,0.0110794,0.0973458,0.0973458,0.0973458,0.0973458,0.0973458,0.0973458,1,0.976205,0.218089,0.995498,0.971529,0.217137,0.000341061,0.0211455,0.0973458
