,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0.0,0.0,0,10.0,0,0,10,1,10,0,12,100,100,100,100,100,100,89.376,99.9285,0.0,99.9938,99.9996,99.9993,99.9392,0.0,99.9891
1,1,0.0,0.0,0,0.0,0,0,10,1,20,1,12,100,100,100,100,100,100,89.7899,89.7899,99.9859,99.9996,99.9996,99.9994,0.0,0.0,99.9922
2,1,15.0,0.0,0,0.0,0,0,6,1,26,2,12,100,100,100,100,100,100,72.3923,83.095,1.42109e-14,99.9974,99.9939,99.9983,0.0,99.9752,99.9833
3,1,0.0,0.0,0,0.0,0,0,10,1,36,3,12,100,100,100,100,100,100,89.7881,89.7886,99.5498,99.9996,99.9996,99.9994,0.0,0.0,99.9922
4,1,0.0,0.0,0,1.0,0,0,10,1,46,4,12,100,100,100,100,100,100,99.6013,88.77,0.0,100.0,99.9934,100.0,99.9649,0.0,99.9851
5,1,0.0,0.0,0,0.0,0,0,10,1,56,5,12,100,100,100,100,100,100,89.774,89.7874,0.0,99.9996,99.9938,99.9994,0.0,0.0,99.9843
6,1,15.0,0.0,0,0.0,0,0,6,1,62,6,12,100,100,100,100,100,100,87.7246,47.5809,1.42109e-14,99.9959,99.9986,99.9992,0.0,99.9615,99.9712
7,1,0.0,0.0,0,0.0,0,0,10,1,72,7,12,100,100,100,100,100,100,89.7863,89.7897,99.8826,99.9996,99.9996,99.9994,0.0,0.0,99.9841
8,1,0.0,0.0,0,-1.0,0,0,10,1,82,8,12,100,100,100,100,100,100,82.3651,99.7985,0.0,99.9938,99.9994,99.9989,99.9683,0.0,99.9838
9,1,0.0,0.0,0,0.0,0,0,10,1,92,9,12,100,100,100,100,100,100,89.7914,89.79,99.7473,99.9996,99.9996,99.9994,0.0,0.0,99.9896
10,1,15.0,0.0,0,0.0,0,0,6,1,98,10,12,100,100,100,100,100,100,87.8067,90.3704,86.21,99.9993,99.9992,99.9992,0.0,99.9941,99.9797
11,1,0.0,0.0,0,0.0,0,0,5,1,103,11,12,100,100,100,100,100,100,89.7882,89.7836,98.9665,99.9996,99.9996,99.9994,0.0,0.0,99.9895
12,1,0.0,-15.0,0,0.0,0,0,3,1,106,12,12,100,100,100,100,100,100,99.5415,82.4332,71.4313,100.0,99.9978,100.0,99.9828,0.0,99.9829
13,1,0.0,0.0,0,0.0,0,0,10,1,116,13,12,100,100,100,100,100,100,99.3512,89.788,0.0,99.9999,99.9938,99.9999,99.9537,0.0,99.9537
14,1,0.0,15.0,0,0.0,0,0,3,1,119,14,12,100,100,100,100,100,100,99.5804,88.4141,65.4577,99.9999,99.9977,100.0,99.9757,0.0,99.9836
15,1,0.0,0.0,0,0.0,0,0,5,1,124,15,12,100,100,100,100,100,100,89.7901,89.7945,98.5944,99.9996,99.9995,99.9994,0.0,0.0,99.9886
16,1,-15.0,0.0,0,0.0,0,0,6,1,130,16,12,100,100,100,100,100,100,82.9615,71.6406,0.0,99.9932,99.9959,99.9989,0.0,99.8774,99.9607
17,1,0.0,0.0,0,0.0,0,0,5,1,135,17,12,100,100,100,100,100,100,89.7938,89.7928,99.8319,99.9996,99.9996,99.9994,0.0,0.0,99.9904
18,1,0.0,15.0,0,0.0,0,0,3,1,138,18,12,100,100,100,100,100,100,87.3397,99.7888,0.0,99.9938,99.9997,99.9973,99.9844,0.0,99.9924
19,1,0.0,0.0,0,0.0,0,0,10,1,148,19,12,100,100,100,100,100,100,89.7848,99.8083,0.0,99.9956,99.9996,99.9956,99.99,0.0,99.99
20,1,0.0,-15.0,0,0.0,0,0,3,1,151,20,12,100,100,100,100,100,100,75.6948,99.8368,0.0,99.994,99.9991,99.9966,99.9882,0.0,99.9888
21,1,0.0,0.0,0,0.0,0,0,5,1,156,21,12,100,100,100,100,100,100,99.8985,89.7827,99.7697,99.9996,100.0,100.0,0.0,99.2625,99.9857
