,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0.0,0.0,0,10.0,0,0,10,1,10,0,14,5.97253994846,6.57054,6.57054,6.57054,9.29215,6.05315,9.29215,95.5994,97.7727,4.41196,91.1232,0,5.04665,0.51196,1.5227e-18,9.03061
1,1,0.0,0.0,0,0.0,0,0,10,1,20,1,15,20.7791970337,6.14707,6.14707,6.14707,8.69326,6.53448,8.69326,93.2946,97.6706,40.3895,85.1523,0,29.8251,2.89158,0.00112258,8.18949
2,1,15.0,0.0,0,0.0,0,0,6,1,26,2,15,31.0193980729,6.09375,6.09375,6.09375,8.61787,6.50486,8.61739,93.2885,98.7243,51.6266,84.9487,0,35.4854,3.36683,0.234222,8.0546
3,1,0.0,0.0,0,0.0,0,0,10,1,36,3,15,35.6568641625,6.0184,6.0184,6.0184,8.51131,6.94757,8.50832,0.0,93.5086,54.7252,83.8848,100,41.288,4.47001,3.65808,7.89558
4,1,0.0,0.0,0,1.0,0,0,10,1,46,4,15,42.4281182764,5.70646,5.70646,5.70646,7.01007,7.30184,8.05805,0.0,0.0,55.9513,79.4714,100,46.949,5.58459,5.02545,7.3747
5,1,0.0,0.0,0,0.0,0,0,10,1,56,5,15,51.0532447763,5.27642,5.27642,5.27642,6.40177,7.46198,7.43856,96.3481,88.4484,62.3851,73.3891,100,51.8417,5.19678,4.79734,6.68881
6,1,15.0,0.0,0,0.0,0,0,6,1,62,6,15,60.6566090366,5.11175,5.11175,5.11175,6.30506,7.22911,7.20032,95.6587,88.4344,68.8038,71.9161,100,53.1001,5.15927,4.7561,6.42431
7,1,0.0,0.0,0,0.0,0,0,10,1,72,7,15,65.8033489527,4.93195,4.93195,4.93195,6.36794,6.97483,6.93893,88.4663,89.1219,71.758,69.3817,100,57.4442,5.46083,4.83161,6.12844
8,1,0.0,0.0,0,-1.0,0,0,10,1,82,8,15,73.3682572349,4.89265,4.89265,4.89265,6.44482,6.91926,6.88428,86.3077,0.0,73.8683,68.7509,100,64.4728,5.96933,4.88689,6.05534
9,1,0.0,0.0,0,0.0,0,0,10,1,92,9,15,78.2177754722,4.92272,4.92272,4.92272,6.5127,6.96177,6.93576,86.3017,0.0,72.7607,69.0506,100,65.4606,6.16126,5.02515,6.09933
10,1,15.0,0.0,0,0.0,0,0,6,1,98,10,15,81.4863635204,5.00509,5.00509,5.00509,6.63381,7.07826,7.06689,86.3787,91.5188,72.2604,70.1009,100,65.3813,6.31786,5.19349,6.22921
11,1,0.0,0.0,0,0.0,0,0,5,1,103,11,15,83.4316985432,5.04529,5.04529,5.04529,6.75692,7.13512,6.67958,86.6099,0.0,71.7965,70.7532,100,65.8416,0.0,5.29856,6.29252
12,1,0.0,-15.0,0,0.0,0,0,3,1,106,12,15,84.9420438987,5.08043,5.08043,5.08043,6.87787,7.18481,6.71722,86.9993,0.0,71.6502,71.0491,100,66.4308,0.0,5.37627,6.34674
13,1,0.0,0.0,0,0.0,0,0,10,1,116,13,15,85.6291830018,5.1125,5.1125,5.1125,0.0,7.23017,6.81586,87.1455,0.0,70.0094,70.6401,100,67.0397,0.0,5.43867,6.38794
14,1,0.0,15.0,0,0.0,0,0,3,1,119,14,15,88.713229979,5.15957,5.15957,5.15957,0.0,0.0,7.02691,0.0,87.7438,69.453,71.1112,100,68.0182,7.29562,5.60183,6.45806
15,1,0.0,0.0,0,0.0,0,0,5,1,124,15,15,89.8638478089,5.16169,5.16169,5.16169,7.06427,0.0,7.12913,0.0,87.7181,69.0772,71.5825,100,68.0779,7.29892,5.60651,6.4668
16,1,-15.0,0.0,0,0.0,0,0,6,1,130,16,15,91.2938285044,5.18648,5.18648,5.18648,7.14469,7.15881,0.0,7.34866,87.5704,68.847,71.8538,100,68.3258,0.0,5.629,6.50709
17,1,0.0,0.0,0,0.0,0,0,5,1,135,17,15,92.982761993,5.21402,5.21402,5.21402,7.37373,7.18808,0.0,89.7078,87.6927,68.5751,72.1572,100,68.0093,7.37295,5.65453,6.54724
18,1,0.0,15.0,0,0.0,0,0,3,1,138,18,15,94.4004116031,5.22976,5.22976,5.22976,7.396,7.22832,0.0,0.0,87.9861,68.2704,72.246,100,67.7876,7.16881,5.65624,6.57793
19,1,0.0,0.0,0,0.0,0,0,10,1,148,19,15,95.5204143245,5.22934,5.22934,5.22934,7.39541,7.22521,0.0,89.9972,88.2134,66.7529,71.1373,100,67.7487,7.16403,5.66004,6.58033
20,1,0.0,-15.0,0,0.0,0,0,3,1,151,20,15,98.3051135735,5.26208,5.26208,5.26208,7.4417,7.24409,7.43832,90.6595,88.6027,66.5997,70.9859,100,68.3877,7.17694,5.72593,6.61974
21,1,0.0,0.0,0,0.0,0,0,5,1,156,21,15,98.9356997678,5.28128,5.28128,5.28128,7.46885,7.25882,7.46536,90.6904,88.6766,66.4034,71.0122,100,67.8968,7.174,5.73341,6.64133
