,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0.0,0.0,0,10.0,0,0,10,1,10,0,14,55.1513057409,5.92253,5.92253,5.92253,8.37572,5.88555,8.37572,93.1821,96.7664,4.41196,82.0812,0.0,5.04665,0.51196,4.38517e-19,7.73393
1,1,0.0,0.0,0,0.0,0,0,10,1,20,1,14,67.2938515723,5.73987,5.73987,5.73987,8.1174,5.71083,8.1174,92.594,96.955,57.4242,79.5341,0.0,35.1542,3.33987,1.58567e-19,7.39415
2,1,15.0,0.0,0,0.0,0,0,6,1,26,2,14,67.6586187535,5.69557,5.69557,5.69557,0.0,5.66911,8.05476,93.4143,0.0,57.4187,81.002,99.7148,35.4686,3.25685,9.91094e-17,7.35841
3,1,0.0,0.0,0,0.0,0,0,10,1,36,3,14,67.375129082,5.73596,5.73596,5.73596,5.70752,8.11188,8.11188,100.0,93.3581,57.9568,80.6793,99.6966,35.6599,3.30936,5.12556e-19,7.39794
4,1,0.0,0.0,0,1.0,0,0,10,1,46,4,14,67.8435545364,4.16781,4.16781,4.16781,4.16199,5.89418,5.89418,0.0,35.3872,0.0,57.7142,96.4685,35.7385,3.35759,1.85645e-16,4.84291
5,1,0.0,0.0,0,0.0,0,0,10,1,56,5,14,95.6710891579,4.06619,4.06619,4.06619,4.06109,5.75046,3.33822,0.0,35.1094,0.0,56.3071,98.2116,0.0,5.75046,1.64657e-17,4.67813
6,1,15.0,0.0,0,0.0,0,0,6,1,62,6,14,96.2125465775,3.92645,3.92645,3.92645,3.92155,3.93197,0.0,37.0471,0.0,0.0,57.4399,92.9434,0.0,3.0856,1.46414e-16,4.6122
7,1,0.0,0.0,0,0.0,0,0,10,1,72,7,14,94.9882795475,4.04112,4.04112,4.04112,5.71501,4.036,0.0,35.5799,100.0,80.4132,57.1413,99.8956,93.1987,3.24624,1.28346e-18,4.69856
8,1,0.0,0.0,0,-1.0,0,0,10,1,82,8,14,70.5681180134,4.12243,4.12243,4.12243,5.83,4.11717,3.37356,35.5192,96.4686,60.2021,57.1021,0.0,0.0,3.36845,5.00626e-19,4.74947
9,1,0.0,0.0,0,0.0,0,0,10,1,92,9,14,66.8627273905,5.77186,5.77186,5.77186,8.16265,5.7417,8.16265,92.6898,96.9703,56.8246,79.9788,0.0,34.9369,3.32253,1.71389e-16,7.45151
10,1,15.0,0.0,0,0.0,0,0,6,1,98,10,14,67.2541944299,5.72326,5.72326,5.72326,5.69388,5.69621,8.09392,93.484,0.0,56.8459,81.3382,99.666,35.2401,3.23864,2.08927e-16,7.40989
11,1,0.0,0.0,0,0.0,0,0,5,1,103,11,14,66.886286089,5.79601,5.79601,5.79601,5.76629,8.1968,8.1968,99.6393,93.4566,57.5978,81.2007,0.0,35.5212,3.32362,2.17808e-16,7.4844
12,1,0.0,-15.0,0,0.0,0,0,3,1,106,12,14,59.3357232324,6.1743,6.1743,6.1743,6.1195,8.73178,8.73178,0.0,0.0,24.787,0.0,79.399,33.209,0.0,3.90241e-19,4.10143
13,1,0.0,0.0,0,0.0,0,0,10,1,116,13,14,68.1509955513,5.28757,5.28757,5.28757,5.23256,7.47775,0.0,0.0,0.0,27.3945,16.2513,73.7679,0.0,3.02071,5.12259e-17,3.65962
14,1,0.0,15.0,0,0.0,0,0,3,1,119,14,14,78.1214293848,4.78559,4.78559,4.78559,4.75534,6.76784,6.76784,0.0,94.0794,36.9375,73.4492,81.2273,22.688,0.0,3.38762e-19,2.67779
15,1,0.0,0.0,0,0.0,0,0,5,1,124,15,14,66.7567132474,5.40869,5.40869,5.40869,5.38033,7.64904,7.64904,0.0,93.5061,53.1629,81.4528,0.0,33.7144,2.86054,3.53166e-19,7.08816
16,1,-15.0,0.0,0,0.0,0,0,6,1,130,16,14,66.8262114079,5.70843,5.70843,5.70843,0.0,5.67954,8.07293,93.5168,0.0,56.5261,81.4812,99.5976,35.1211,3.22939,2.0541e-16,7.38362
17,1,0.0,0.0,0,0.0,0,0,5,1,135,17,14,67.2702928739,5.7417,5.7417,5.7417,8.11999,5.71297,8.11999,93.3875,0.0,57.7566,80.8263,7.50829,35.5771,3.30279,7.31641e-19,0.0
18,1,0.0,15.0,0,0.0,0,0,3,1,138,18,14,68.3987545301,4.73967,4.73967,4.73967,6.7029,4.7114,6.7029,93.5159,0.0,43.5625,78.4166,7.41039,27.5513,2.37911,1.49966e-18,0.0
19,1,0.0,0.0,0,0.0,0,0,10,1,148,19,14,74.842451204,4.76481,4.76481,4.76481,6.73847,4.7279,6.73847,70.8061,0.0,35.7342,21.4712,78.4462,0.0,0.0,4.38015e-18,3.04792
20,1,0.0,-15.0,0,0.0,0,0,3,1,151,20,14,60.2183891347,5.5004,5.5004,5.5004,0.0,5.43132,0.0,0.0,0.0,32.2698,0.0,75.8962,0.0,4.1002,1.10423e-16,0.0
21,1,0.0,0.0,0,0.0,0,0,5,1,156,21,14,61.8839891159,5.82688,5.82688,5.82688,8.24045,5.798,8.24045,92.7818,0.0,58.8219,76.5393,7.49106,35.9713,3.4124,1.1788e-18,0.0
